Namespace(fusion_method='intermediate', hypes_yaml='/space/chuhz/workspace/v2x_object/Where2comm/opencood/hypes_yaml/dair-v2x/dair_where2comm_max_multiscale_resnet_logits_fuse3d_da_KL_0.2_add_occlusion_2.yaml', model_dir='')
Dataset Building
Creating Model
Training start
learning rate 0.002000
/space/chuhz/software/anaconda3/envs/Where2comm/lib/python3.7/site-packages/mmcv/__init__.py:21: UserWarning: On January 1, 2023, MMCV will release v2.0.0, in which it will remove components related to the training process and add a data transformation module. In addition, it will rename the package names mmcv to mmcv-lite and mmcv-full to mmcv. See https://github.com/open-mmlab/mmcv/blob/master/docs/en/compatibility.md for more details.
  'On January 1, 2023, MMCV will release v2.0.0, in which it will remove '
[epoch 0][90/801], || Loss: 4.70 ||total: 1.88 | reg: 1.20 | conf: 0.68 | total_v: 1.94 | reg_v: 1.32 | conf_v: 0.62 | total_i: 0.88 | reg_i: 0.48 | conf_i: 0.41 | 
[epoch 0][91/801], || Loss: 4.31 ||total: 1.51 | reg: 1.02 | conf: 0.49 | total_v: 1.67 | reg_v: 1.04 | conf_v: 0.62 | total_i: 1.14 | reg_i: 0.73 | conf_i: 0.41 | 
[epoch 0][92/801], || Loss: 4.34 ||total: 1.69 | reg: 0.99 | conf: 0.71 | total_v: 1.71 | reg_v: 0.99 | conf_v: 0.72 | total_i: 0.94 | reg_i: 0.54 | conf_i: 0.40 | 
[epoch 0][93/801], || Loss: 5.55 ||total: 2.28 | reg: 1.59 | conf: 0.69 | total_v: 2.02 | reg_v: 1.43 | conf_v: 0.59 | total_i: 1.26 | reg_i: 0.82 | conf_i: 0.44 | 
[epoch 0][94/801], || Loss: 3.99 ||total: 1.43 | reg: 0.93 | conf: 0.51 | total_v: 1.46 | reg_v: 0.86 | conf_v: 0.60 | total_i: 1.10 | reg_i: 0.68 | conf_i: 0.41 | 
[epoch 0][95/801], || Loss: 3.94 ||total: 1.56 | reg: 1.01 | conf: 0.55 | total_v: 1.49 | reg_v: 0.98 | conf_v: 0.51 | total_i: 0.89 | reg_i: 0.49 | conf_i: 0.39 | 
[epoch 0][96/801], || Loss: 4.39 ||total: 1.62 | reg: 1.04 | conf: 0.57 | total_v: 1.66 | reg_v: 1.04 | conf_v: 0.63 | total_i: 1.11 | reg_i: 0.70 | conf_i: 0.41 | 
[epoch 0][97/801], || Loss: 4.55 ||total: 1.75 | reg: 1.07 | conf: 0.67 | total_v: 1.60 | reg_v: 1.02 | conf_v: 0.58 | total_i: 1.20 | reg_i: 0.55 | conf_i: 0.65 | 
[epoch 0][98/801], || Loss: 5.24 ||total: 1.83 | reg: 1.26 | conf: 0.57 | total_v: 2.19 | reg_v: 1.56 | conf_v: 0.63 | total_i: 1.22 | reg_i: 0.82 | conf_i: 0.40 | 
[epoch 0][99/801], || Loss: 3.76 ||total: 1.35 | reg: 0.76 | conf: 0.59 | total_v: 1.26 | reg_v: 0.75 | conf_v: 0.51 | total_i: 1.15 | reg_i: 0.68 | conf_i: 0.47 | 
[epoch 0][100/801], || Loss: 4.20 ||total: 1.64 | reg: 1.06 | conf: 0.58 | total_v: 1.62 | reg_v: 1.08 | conf_v: 0.54 | total_i: 0.94 | reg_i: 0.53 | conf_i: 0.41 | 
[epoch 0][101/801], || Loss: 3.96 ||total: 1.45 | reg: 0.85 | conf: 0.60 | total_v: 1.47 | reg_v: 0.91 | conf_v: 0.57 | total_i: 1.04 | reg_i: 0.60 | conf_i: 0.44 | 
[epoch 0][102/801], || Loss: 3.78 ||total: 1.46 | reg: 0.90 | conf: 0.56 | total_v: 1.36 | reg_v: 0.86 | conf_v: 0.50 | total_i: 0.95 | reg_i: 0.52 | conf_i: 0.43 | 
[epoch 0][103/801], || Loss: 4.40 ||total: 1.64 | reg: 1.06 | conf: 0.58 | total_v: 1.70 | reg_v: 1.08 | conf_v: 0.62 | total_i: 1.06 | reg_i: 0.63 | conf_i: 0.44 | 
[epoch 0][104/801], || Loss: 3.58 ||total: 1.28 | reg: 0.84 | conf: 0.45 | total_v: 1.38 | reg_v: 0.83 | conf_v: 0.54 | total_i: 0.92 | reg_i: 0.53 | conf_i: 0.39 | 
[epoch 0][105/801], || Loss: 3.88 ||total: 1.51 | reg: 0.97 | conf: 0.53 | total_v: 1.33 | reg_v: 0.83 | conf_v: 0.50 | total_i: 1.05 | reg_i: 0.63 | conf_i: 0.42 | 
[epoch 0][106/801], || Loss: 5.78 ||total: 2.36 | reg: 1.73 | conf: 0.64 | total_v: 2.25 | reg_v: 1.56 | conf_v: 0.69 | total_i: 1.16 | reg_i: 0.76 | conf_i: 0.40 | 
